STU_ID,female,race,firstgen,prnt_female_edu,prnt_male_edu,prnt_female_occ,prnt_male_occ,self_concept_ability_math,math_teacher_gender,teach_math_9_12,teachers_high_standards,teacher_emphasize_interest,teacher_emphasize_prepare,teacher_emphasize_business,teacher_emphasize_standtest,math_mentor_pairing,math_afterschool_program,credits_stem,gpa_stem
10171,1,1,0,2,NA,0,0,2.25,3,NA,NA,NA,NA,NA,NA,0,0,4,3.5
10172,1,1,1,1,NA,0,0,2.25,1,2,2,NA,NA,NA,NA,1,0,4,1.5
10175,0,5,1,1,NA,0,0,1.25,1,2,3,3,4,2,3,1,1,4,3
10176,1,1,1,1,NA,0,0,2,0,3,2,2,3,3,3,0,0,4.5,2.5
10178,1,1,0,3,NA,1,0,2.25,3,NA,NA,NA,NA,NA,NA,1,0,3.5,3
10180,1,3,0,2,NA,0,0,2.5,0,3,2,2,3,3,3,0,1,4,2.5
10184,0,1,1,1,NA,0,0,2.5,0,1,1,3,3,3,3,NA,NA,4,2.5
10187,1,5,0,2,NA,0,0,1,0,2,1,3,3,2,4,0,0,4,2
10190,0,1,1,1,NA,0,0,2,1,3,2,NA,NA,NA,NA,0,0,3,2
10191,1,5,1,1,NA,0,0,3.5,3,NA,NA,NA,NA,NA,NA,0,1,3.5,2
10193,1,1,0,2,2,0,0,2.5,1,3,1,4,4,3,3,0,1,4,3.5
10194,0,1,1,1,NA,0,0,2,1,2,1,3,4,4,4,0,1,4,3.5
10195,0,1,0,2,2,0,1,2,1,3,1,3,3,3,4,0,1,4,3
10200,0,1,0,2,NA,0,0,2.75,0,2,1,2,2,1,4,0,0,5,2
10203,0,5,0,1,2,0,0,2,0,2,2,NA,NA,NA,NA,NA,NA,4,2.5
10205,1,1,1,1,NA,0,0,3.25,1,3,2,3,4,3,3,1,1,3,2
10206,1,1,1,1,NA,0,0,1.25,1,2,2,4,4,3,3,0,0,4,2
10207,0,5,0,1,NA,0,0,1,0,3,2,3,4,2,3,1,1,4,2
10208,0,1,1,1,NA,0,0,1,1,1,1,3,4,3,4,0,1,8,3
10209,0,1,1,1,NA,0,0,2.5,1,2,1,4,4,4,4,0,0,1.5,1.5
10210,0,1,0,3,NA,0,0,1,1,3,1,NA,NA,NA,NA,0,0,4,3
10213,1,1,1,1,NA,0,0,2,1,2,1,4,4,3,4,1,0,4,3.5
10214,0,1,1,1,NA,0,0,1.25,0,3,2,3,3,2,3,1,1,4.5,2
10216,0,1,0,1,2,0,0,1,1,2,1,3,4,3,4,0,1,5,3.5
10218,0,1,1,1,NA,0,0,2,1,2,2,3,3,3,1,0,0,4,3
10221,0,1,0,1,2,0,0,1,1,2,1,3,4,2,4,1,1,3,1.5
10222,0,5,1,1,NA,0,0,3,1,3,2,2,2,1,3,NA,NA,0.5,0.25
10226,1,5,0,2,3,0,0,2,1,3,NA,NA,NA,NA,NA,0,0,5,4
10227,1,3,0,2,2,1,0,2.25,0,2,1,3,2,2,2,0,0,5.5,3.5
10229,1,1,0,2,NA,0,1,2,0,2,1,3,4,3,4,1,1,4,3.5
10230,0,1,0,2,NA,0,0,2,3,NA,NA,NA,NA,NA,NA,0,0,2.5,1
10232,0,1,1,1,NA,0,0,2,1,3,2,4,3,3,3,0,1,4,3
10235,1,1,1,1,NA,0,0,2.25,0,2,1,3,3,4,3,0,1,3,2.5
10236,0,1,1,1,NA,0,0,2.25,3,NA,NA,NA,NA,NA,NA,1,1,4,1.5
10238,0,1,0,2,NA,0,0,2,1,3,2,3,4,2,3,0,0,4,4
10239,1,1,1,1,NA,0,0,2.25,0,NA,1,NA,NA,NA,NA,0,0,4,3
10240,0,2,1,1,NA,0,0,2,1,3,NA,NA,NA,NA,NA,0,0,3,2.5
